Sr. No,Title,Company,City,CTC,Exp,Rating,Reviews
0,QA Data Science Intern,ALTAIR DEVELOPERS PRIVATE LIMITED,Bengaluru,350000,0,3.9,11
1,Senior Data Science & Analytics Platform Engineer,GlaxoSmithKline Pharmaceuticals Limited,Bengaluru,1250000,8,4.3,865
2,Data Science Associate Consultant,ZS Associates,Delhi,650000,3,3.8,387
3,Associate Director - Data Science,Nagarro Software Pvt. Ltd,NCR,2050000,10,4.1,467
4,Associate Director - Data Science,Nagarro Software Pvt. Ltd,NCR,2050000,10,4.1,467
5,Data Science Intern,DataTrained,Bengaluru,350000,0,4.3,14
6,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Bengaluru,950000,5,4.0,18231
7,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Bengaluru,950000,5,4.0,18231
8,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Bengaluru,950000,5,4.0,18231
9,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Bengaluru,950000,5,4.0,18231
10,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Bengaluru,950000,5,4.0,18231
